#
#num reg  count-read  count-written
#
## Basic Block at 0x00007fe089112100
  3 rdi                       3           0
 10 rax                       6           3
## Basic Block at 0x00007fe08911210c
  3 rdi                       3           0
  9 rcx                       9           3
 10 rax                       6           0
## Basic Block at 0x00007fe089112127
  3 rdi                      15           0
  4 rsi                       3           0
  6 rsp                       3           3
  8 rdx                       6           3
  9 rcx                       6           0
 10 rax                      12           6
 11 r8                        6           3
## Basic Block at 0x00007fe0891080c8
  3 rdi                       0           1
  4 rsi                       0           1
  5 rbp                       1           0
  6 rsp                       1           1
  8 rdx                       3           2
 10 rax                       5           4
 15 r12                       1           0
## Basic Block at 0x00007fe089120a60
  3 rdi                       8           2
  4 rsi                       1           0
  5 rbp                       1           0
  6 rsp                       7           7
  7 rbx                       1           0
 10 rax                       1           3
 15 r12                       1           0
 16 r13                       1           1
 17 r14                       1           0
 18 r15                       1           0
## Basic Block at 0x00007fe089120aa3
 10 rax                       2           1
## Basic Block at 0x00007fe089120aad
## Basic Block at 0x00007fe089120aa3
 10 rax                      52          26
## Basic Block at 0x00007fe089120aad
  4 rsi                       1           1
  6 rsp                       1           0
  8 rdx                       1           1
 10 rax                       4           1
## Basic Block at 0x00007fe089120adc
  6 rsp                      12           0
  7 rbx                       4           4
  9 rcx                       0           1
 10 rax                       4           1
 18 r15                       0           1
## Basic Block at 0x00007fe089120b7a
  9 rcx                       2           0
 10 rax                       3           2
## Basic Block at 0x00007fe089120c48
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       3           2
## Basic Block at 0x00007fe089120c66
## Basic Block at 0x00007fe089120b70
 10 rax                      36          18
## Basic Block at 0x00007fe089120b7a
  9 rcx                      36           0
 10 rax                      54          36
## Basic Block at 0x00007fe089120d30
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       3           2
## Basic Block at 0x00007fe089120d4e
## Basic Block at 0x00007fe089120da0
  8 rdx                       3           1
 10 rax                       2           1
 18 r15                       0           1
## Basic Block at 0x00007fe089120dba
## Basic Block at 0x00007fe089120d08
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       2           1
## Basic Block at 0x00007fe089120d24
## Basic Block at 0x00007fe089120b88
  5 rbp                       0           1
  8 rdx                       3           1
 10 rax                       2           1
## Basic Block at 0x00007fe089120b98
## Basic Block at 0x00007fe089120ba9
## Basic Block at 0x00007fe089120b8c
  8 rdx                      16           8
 10 rax                      16           8
## Basic Block at 0x00007fe089120b98
## Basic Block at 0x00007fe089120ba9
## Basic Block at 0x00007fe089120dc0
  8 rdx                       3           1
 10 rax                       2           1
## Basic Block at 0x00007fe089120dd4
## Basic Block at 0x00007fe089120d80
  4 rsi                       0           1
  8 rdx                       3           1
 10 rax                       2           1
## Basic Block at 0x00007fe089120d9a
## Basic Block at 0x00007fe089120cc0
  8 rdx                       3           1
 10 rax                       2           1
## Basic Block at 0x00007fe089120cd9
## Basic Block at 0x00007fe089120c98
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       3           2
## Basic Block at 0x00007fe089120cb5
## Basic Block at 0x00007fe089120c70
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       3           2
## Basic Block at 0x00007fe089120c8e
## Basic Block at 0x00007fe089120d58
  8 rdx                       3           1
 10 rax                       2           1
 12 r9                        0           1
## Basic Block at 0x00007fe089120d72
## Basic Block at 0x00007fe089120ba0
## Basic Block at 0x00007fe089120ba9
## Basic Block at 0x00007fe089120bae
## Basic Block at 0x00007fe08912124f
 18 r15                       1           0
## Basic Block at 0x00007fe089120ba9
## Basic Block at 0x00007fe089120bae
  4 rsi                       1           0
  6 rsp                       1           0
## Basic Block at 0x00007fe089120bb7
## Basic Block at 0x00007fe089120bc3
  6 rsp                       1           0
 12 r9                        1           0
## Basic Block at 0x00007fe089120bd1
  6 rsp                       2           0
 10 rax                       1           1
## Basic Block at 0x00007fe089120be4
  6 rsp                       2           0
 10 rax                       1           1
## Basic Block at 0x00007fe089120bf7
  6 rsp                       2           0
## Basic Block at 0x00007fe089120c08
## Basic Block at 0x00007fe089120c1b
## Basic Block at 0x00007fe089120c14
  6 rsp                       1           0
## Basic Block at 0x00007fe089120c1b
  6 rsp                       2           0
 10 rax                       1           1
## Basic Block at 0x00007fe089120c32
  6 rsp                       1           0
 10 rax                       1           1
## Basic Block at 0x00007fe089120de5
  6 rsp                       1           1
## Basic Block at 0x00007fe08911edd0
  3 rdi                       1           0
  5 rbp                       1           0
  6 rsp                       7           7
  7 rbx                       1           0
 15 r12                       1           0
 16 r13                       1           0
 17 r14                       1           0
 18 r15                       1           1
## Basic Block at 0x00007fe08911edeb
## Basic Block at 0x00007fe08911ee10
  6 rsp                       4           0
 10 rax                       2           2
 18 r15                       2           0
## Basic Block at 0x00007fe08911ee2d
  7 rbx                       2           1
 18 r15                       1           0
## Basic Block at 0x00007fe08911ee39
  5 rbp                       0           1
  7 rbx                       1           0
 18 r15                       1           0
## Basic Block at 0x00007fe08911ee49
## Basic Block at 0x00007fe08911ee53
## Basic Block at 0x00007fe08911ee68
  7 rbx                      27           0
  9 rcx                       0          27
 10 rax                      54           0
## Basic Block at 0x00007fe08911ee74
## Basic Block at 0x00007fe08911ee7c
## Basic Block at 0x00007fe08911ee60
## Basic Block at 0x00007fe08911ee65
  7 rbx                     269           0
  9 rcx                     269         269
 10 rax                     538         269
## Basic Block at 0x00007fe08911ee74
## Basic Block at 0x00007fe08911ee74
## Basic Block at 0x00007fe08911ee7c
  5 rbp                      54           0
  7 rbx                      27           0
 10 rax                      27           0
 15 r12                      27          27
 17 r14                       0          27
## Basic Block at 0x00007fe08911ee8d
## Basic Block at 0x00007fe08911eecb
  3 rdi                      27          27
 10 rax                      27           0
## Basic Block at 0x00007fe08911eee5
  3 rdi                      27           0
 12 r9                       54          27
## Basic Block at 0x00007fe08911eeee
## Basic Block at 0x00007fe08911ef30
  3 rdi                     594         594
## Basic Block at 0x00007fe08911ef3e
  5 rbp                      27           0
 18 r15                      54          27
## Basic Block at 0x00007fe08911ef4a
## Basic Block at 0x00007fe08911eee0
  3 rdi                     567           0
## Basic Block at 0x00007fe08911eee5
  3 rdi                     567           0
 12 r9                     1134         567
## Basic Block at 0x00007fe08911eeee
  7 rbx                     243           0
 12 r9                      243           0
## Basic Block at 0x00007fe08911eef9
## Basic Block at 0x00007fe08911eefd
## Basic Block at 0x00007fe08911ef01
  7 rbx                      13           0
  8 rdx                       0          13
  9 rcx                       0          13
 12 r9                       13           0
## Basic Block at 0x00007fe08911ef19
  8 rdx                      26          13
  9 rcx                      26          13
## Basic Block at 0x00007fe08911ef2c
## Basic Block at 0x00007fe08911ef30
## Basic Block at 0x00007fe08911ef10
## Basic Block at 0x00007fe08911ef15
## Basic Block at 0x00007fe08911ef19
  8 rdx                      16           8
  9 rcx                      16           8
## Basic Block at 0x00007fe08911ee2d
  7 rbx                      54          27
 18 r15                      27           0
## Basic Block at 0x00007fe08911ee39
  5 rbp                       0          26
  7 rbx                      26           0
 18 r15                      26           0
## Basic Block at 0x00007fe08911ee49
## Basic Block at 0x00007fe08911ee53
## Basic Block at 0x00007fe08911ef4a
  5 rbp                       0           1
  6 rsp                       8           8
  7 rbx                       0           1
 15 r12                       0           1
 16 r13                       0           1
 17 r14                       0           1
 18 r15                       0           1
## Basic Block at 0x00007fe089120dea
  6 rsp                       1           1
## Basic Block at 0x00007fe0891220a0
  9 rcx                       0           1
 14 r11                       0           1
## Basic Block at 0x00007fe0891220a9
  8 rdx                       0           1
 10 rax                       2           0
## Basic Block at 0x00007fe0891220b4
  3 rdi                       1           0
  8 rdx                       1           0
 10 rax                       1           0
## Basic Block at 0x00007fe0891220c2
  6 rsp                       1           1
## Basic Block at 0x00007fe089120df1
  6 rsp                       2           0
## Basic Block at 0x00007fe089120e05
## Basic Block at 0x00007fe089120e17
## Basic Block at 0x00007fe089120e23
## Basic Block at 0x00007fe089120f68
## Basic Block at 0x00007fe089120f84
## Basic Block at 0x00007fe089120f90
  3 rdi                       0           1
  4 rsi                       0           1
  6 rsp                       5           1
  8 rdx                       0           1
  9 rcx                       0           1
 17 r14                       1           1
## Basic Block at 0x00007fe0891207e0
  3 rdi                       2           0
  6 rsp                       2           2
  7 rbx                       1           0
## Basic Block at 0x00007fe0891207ed
  8 rdx                       1           0
  9 rcx                       1           0
 11 r8                        0           1
 12 r9                        0           1
## Basic Block at 0x00007fe0891207fa
  3 rdi                       2           0
  4 rsi                       1           0
 11 r8                        1           0
 12 r9                        1           0
## Basic Block at 0x00007fe089120845
## Basic Block at 0x00007fe08912084e
## Basic Block at 0x00007fe0891209b0
  3 rdi                       1           0
  4 rsi                       1           0
 11 r8                        1           0
## Basic Block at 0x00007fe089120845
## Basic Block at 0x00007fe08912084e
## Basic Block at 0x00007fe089120857
## Basic Block at 0x00007fe089120881
## Basic Block at 0x00007fe089120894
## Basic Block at 0x00007fe0891209a4
  6 rsp                       3           3
  7 rbx                       0           1
## Basic Block at 0x00007fe089120fac
## Basic Block at 0x00007fe089120fb3
## Basic Block at 0x00007fe089120fba
## Basic Block at 0x00007fe089120fc1
## Basic Block at 0x00007fe089120fe3
## Basic Block at 0x00007fe089120ff0
## Basic Block at 0x00007fe089120ff0
  6 rsp                       2           0
## Basic Block at 0x00007fe089121001
## Basic Block at 0x00007fe089120e4e
## Basic Block at 0x00007fe089120e59
## Basic Block at 0x00007fe089120e68
  4 rsi                       0           1
  6 rsp                       1           1
  8 rdx                       0           1
 17 r14                       1           0
## Basic Block at 0x00007fe08911f3d0
  3 rdi                      10           0
  9 rcx                       5           5
 10 rax                      20          20
## Basic Block at 0x00007fe08911f3f6
## Basic Block at 0x00007fe08911f3fc
## Basic Block at 0x00007fe08911f400
  3 rdi                      10           0
  4 rsi                       5           0
  9 rcx                       5           0
 10 rax                      20          15
## Basic Block at 0x00007fe08911f419
## Basic Block at 0x00007fe08911f41e
## Basic Block at 0x00007fe08911f428
  6 rsp                       5           5
## Basic Block at 0x00007fe089120e95
  4 rsi                       0           1
  6 rsp                       1           1
 17 r14                       1           0
## Basic Block at 0x00007fe089120ea4
  4 rsi                       0           1
  6 rsp                       2           1
 10 rax                       1           1
 17 r14                       1           0
## Basic Block at 0x00007fe089120ebf
  4 rsi                       0           1
  6 rsp                       2           1
 10 rax                       1           1
 17 r14                       1           0
## Basic Block at 0x00007fe089120eda
  6 rsp                       1           0
 10 rax                       1           1
## Basic Block at 0x00007fe089120efe
  3 rdi                       2           1
## Basic Block at 0x00007fe089120f0a
  6 rsp                       1           1
## Basic Block at 0x00007fe089126d20
  3 rdi                      10           0
  9 rcx                      10          10
 10 rax                       0           5
## Basic Block at 0x00007fe089126d46
 10 rax                       5           0
## Basic Block at 0x00007fe089126d56
  6 rsp                       5           5
## Basic Block at 0x00007fe089120f0f
  6 rsp                       1           1
 10 rax                       1           0
## Basic Block at 0x00007fe0891220f0
  3 rdi                       1           0
  5 rbp                       1           1
  6 rsp                       3           3
  7 rbx                       3           1
## Basic Block at 0x00007fe089122105
## Basic Block at 0x00007fe08912210f
## Basic Block at 0x00007fe089122121
  5 rbp                       1           0
## Basic Block at 0x00007fe089122127
## Basic Block at 0x00007fe089122129
## Basic Block at 0x00007fe089122147
  5 rbp                       0           1
  6 rsp                       4           4
  7 rbx                       1           1
 10 rax                       0           1
## Basic Block at 0x00007fe089120f1d
  8 rdx                       1           1
 10 rax                       1           0
## Basic Block at 0x00007fe089120f2d
## Basic Block at 0x00007fe089120f3b
  3 rdi                       0           1
  5 rbp                       1           0
  6 rsp                       2           1
  8 rdx                       0           1
  9 rcx                       0           1
 16 r13                       1           0
## Basic Block at 0x00007fe089108660
  3 rdi                       1           1
  5 rbp                       7           1
  6 rsp                       9           8
  7 rbx                       1           1
  8 rdx                       2           1
  9 rcx                       1           0
 10 rax                       8           8
 15 r12                       1           1
 16 r13                       1           1
 17 r14                       1           0
 18 r15                       1           0
## Basic Block at 0x00007fe0891215d0
  3 rdi                       1           0
  8 rdx                       1           1
 10 rax                       2           1
## Basic Block at 0x00007fe0891215db
## Basic Block at 0x00007fe0891215ec
 10 rax                       1           0
## Basic Block at 0x00007fe0891215f1
 10 rax                       1           0
## Basic Block at 0x00007fe0891215f7
## Basic Block at 0x00007fe0891215e0
  8 rdx                      54          27
 10 rax                      54          27
## Basic Block at 0x00007fe0891215ec
 10 rax                      26           0
## Basic Block at 0x00007fe0891215f1
 10 rax                       4           0
## Basic Block at 0x00007fe089121610
  6 rsp                       1           1
## Basic Block at 0x00007fe08910870e
 10 rax                       3           0
 18 r15                       0           1
## Basic Block at 0x00007fe08910871a
## Basic Block at 0x00007fe089108722
## Basic Block at 0x00007fe089108aa8
## Basic Block at 0x00007fe089108ab6
## Basic Block at 0x00007fe089108ac0
## Basic Block at 0x00007fe089108ac9
 10 rax                       1           1
 16 r13                       1           0
## Basic Block at 0x00007fe089108ada
## Basic Block at 0x00007fe089108b0b
## Basic Block at 0x00007fe089108ecb
  3 rdi                       0           1
  4 rsi                       1           1
  6 rsp                       1           1
## Basic Block at 0x00007fe089112240
  3 rdi                       2           2
  4 rsi                       4           0
  5 rbp                       2           0
  6 rsp                      22          16
  7 rbx                       2           0
  9 rcx                       2           0
 12 r9                        2           0
 15 r12                       2           2
 16 r13                       2           0
 17 r14                       2           2
 18 r15                       2           0
## Basic Block at 0x00007fe089112271
  3 rdi                       0           2
  5 rbp                       2           2
  6 rsp                       6           2
  8 rdx                       2           2
 10 rax                       4           0
 12 r9                        6           2
## Basic Block at 0x00007fe089106ec0
## Basic Block at 0x00007fe0891217c0
  3 rdi                       4           2
  4 rsi                       4           0
  8 rdx                       4           4
  9 rcx                       2           2
 10 rax                       2           0
## Basic Block at 0x00007fe0891217d7
## Basic Block at 0x00007fe0891217dc
## Basic Block at 0x00007fe0891217dc
## Basic Block at 0x00007fe089106ea0
## Basic Block at 0x00007fe089121690
  9 rcx                      12           6
## Basic Block at 0x00007fe0891216a0
  3 rdi                       5           0
  8 rdx                      20          15
  9 rcx                       5           0
 10 rax                       5           5
## Basic Block at 0x00007fe0891216bf
  3 rdi                       5           0
  8 rdx                       5           0
  9 rcx                      10          10
## Basic Block at 0x00007fe089121770
  8 rdx                       1           1
  9 rcx                       2           2
 10 rax                       3           2
## Basic Block at 0x00007fe0891216a7
  3 rdi                       1           0
  8 rdx                       4           2
  9 rcx                       1           0
 10 rax                       1           1
## Basic Block at 0x00007fe0891216bf
  3 rdi                       1           0
  8 rdx                       1           0
  9 rcx                       2           2
## Basic Block at 0x00007fe0891216ce
## Basic Block at 0x00007fe089121758
  6 rsp                       6           6
  8 rdx                      12           0
 10 rax                       6           6
## Basic Block at 0x00007fe0891122b1
  7 rbx                       0           2
 10 rax                       6           0
## Basic Block at 0x00007fe0891122bd
  3 rdi                       0           2
  4 rsi                       0           2
  6 rsp                      10           2
  7 rbx                       4           0
  8 rdx                       0           2
 10 rax                       8           2
 12 r9                       10           4
 13 r10                       2           2
## Basic Block at 0x00007fe089127270
  3 rdi                       3           0
  8 rdx                       3           0
 10 rax                       0           3
## Basic Block at 0x00007fe089127279
  8 rdx                       1           0
## Basic Block at 0x00007fe08912727f
  3 rdi                       2           0
  4 rsi                       2           0
  6 rsp                       1           1
  8 rdx                       2           0
## Basic Block at 0x00007fe089127290
## Basic Block at 0x00007fe089127295
## Basic Block at 0x00007fe08912729a
## Basic Block at 0x00007fe08912729f
## Basic Block at 0x00007fe0891272a1
  3 rdi                       2           0
  4 rsi                       2           0
  6 rsp                       2           2
## Basic Block at 0x00007fe0891122f8
  5 rbp                       2           0
  6 rsp                       4           0
  7 rbx                       6           0
  9 rcx                       4           2
 10 rax                       6           4
 12 r9                        4           2
## Basic Block at 0x00007fe089112344
## Basic Block at 0x00007fe089112354
## Basic Block at 0x00007fe0891124b0
  7 rbx                       2           0
## Basic Block at 0x00007fe089112344
  7 rbx                       4           0
 15 r12                       2           0
 17 r14                       2           0
## Basic Block at 0x00007fe089112354
  7 rbx                       3           0
  8 rdx                       3           2
 10 rax                       5           2
 16 r13                       1           0
## Basic Block at 0x00007fe08911237c
## Basic Block at 0x00007fe089112370
  7 rbx                      15           0
  8 rdx                      15           0
 10 rax                      45          15
## Basic Block at 0x00007fe08911237c
  3 rdi                       1           1
  7 rbx                       3           0
  8 rdx                       1           1
 10 rax                       4           3
 15 r12                       2           0
## Basic Block at 0x00007fe0891123b1
## Basic Block at 0x00007fe089112568
 17 r14                       2           0
## Basic Block at 0x00007fe089112573
  7 rbx                       1           0
 17 r14                       0           1
## Basic Block at 0x00007fe0891123e7
  6 rsp                       1           0
  7 rbx                       2           0
  8 rdx                       1           0
  9 rcx                       1           1
 10 rax                       1           1
 17 r14                       1           0
## Basic Block at 0x00007fe08911240d
## Basic Block at 0x00007fe089112499
  5 rbp                       0           2
  6 rsp                      16          16
  7 rbx                       2           2
 10 rax                       0           2
 15 r12                       0           2
 16 r13                       0           2
 17 r14                       0           2
